rank,uri,artist_names,track_name,source,peak_rank,weeks_on_chart,streams,country
2,spotify:track:2BvjmY4Mp5q1AHL0laetd6,Heuss L'enfoiré Gazo,Saiyan,150 Prod / Straw Production,2,8,2198178,France
3,spotify:track:0EzNyXyU7gHzj2TN8qYThj,SDM,Bolide allemand,92i / Capitol Music France,1,34,1986706,France
4,spotify:track:4wNyrbY6B2Okii8VeKo2B2,Tiakola,Meuda,Wati-B,2,61,1844255,France
5,spotify:track:1A3eBtA4ath65H7PFySd6l,Freeze corleone,Shavkat,MMS CORP,5,1,1782530,France
6,spotify:track:0XGBe8T2n2XTdesQgjQQIY,Naps Gazo Ninho,C'est carré le S,Ok Many industrie,1,13,1456590,France
7,spotify:track:2t0sbwkCuLSS8LKFanHEZu,JEY BROWNIE FLEM KGB,GTB,ATT Music Productions,7,5,1382787,France
8,spotify:track:5dSfZLxT4QUN4maDM5H2ZW,NAZAKEBLACK Naza KeBlack,123 Soleil,Capricarolesque Industry - Dayeden Musik,8,7,1355667,France
9,spotify:track:3Iy4j2lCqW8BXGkFk21U6F,Ninho Central Cee,Eurostar (feat. Central Cee),Rec. 118/Jefe Production,1,4,1316511,France
10,spotify:track:7d391WfC0HtftRcetDFQUy,PLK,Nouvelles,Panenka Music,3,15,1310777,France
11,spotify:track:1xs8bOvm3IzEYmcLJVOc34,Ayra Starr,Rush,Mavin Records,6,28,1302258,France
12,spotify:track:7EO5oDxrq2dvYDgBjFvFYY,No Limit Gazo Damso,LA RUE,NO LIMIT PROD,1,11,1282671,France
13,spotify:track:24JrEVHDfohup0ypuOV7os,Werenoi,Laboratoire,PLR Music / PGP Records / Allpoints,9,20,1260739,France
14,spotify:track:1DmW5Ep6ywYwxc2HMT5BG6,Loreen,Tattoo,Universal Music AB,12,11,1241782,France
15,spotify:track:609E1JCInJncactoMmkDon,ROSALÍA Rauw Alejandro,BESO,Columbia Records/Duars Entertainment/Sony Music Latin,15,18,1225601,France
16,spotify:track:6pIciAIov7TP5Zj4PTN9rc,Vacra,Tiki Taka,Universal Music Division Carthage Music,12,30,1215887,France
17,spotify:track:66TAAKeoOD0cFpVRug9IXZ,PLK,Demain,Panenka Music,1,15,1114998,France
18,spotify:track:1odExI7RdWc4BT515LTAwj,David Kushner,Daylight,Miserable Music Group LLC,10,15,1112551,France
19,spotify:track:1vYXt7VSjH9JIM5oRRo7vA,Dua Lipa,Dance The Night - From Barbie The Album,Atlantic Records,19,9,1057233,France
20,spotify:track:3BKD1PwArikchz2Zrlp1qi,David Guetta Anne-Marie Coi Leray,Baby Don't Hurt Me,Parlophone UK,11,16,1053482,France
21,spotify:track:4DHcnVTT87F0zZhRPYmZ3B,Miley Cyrus,Flowers,Columbia,1,28,1046052,France
22,spotify:track:55Q180Og5mkW2XeGPjB7yn,Morad Jul,Se Grita,M.D.L.R,21,10,1042362,France
23,spotify:track:16FTTvpIgihyei3EBNw1jd,GAULOIS Ninho,Jolie (feat. Ninho),La G Corp / Tiens Tiens Retiens,1,28,1014532,France
24,spotify:track:2F2p7b5Xq20mRyEeWYaeUF,Purple Disco Machine Kungs Julian Perretta,Substitution (Feat. Julian Perretta),Universal Music Division Island Def Jam,23,15,1008137,France
25,spotify:track:1NS6X0RWyNp0KzCCmCCwlu,Nahir Vacra,Piranha (feat. Vacra),AWA,20,9,983339,France
26,spotify:track:0ma3NlsPqinnkehSwvXtSd,Werenoi Ninho,Ciao,PLR Music / PGP Records / Allpoints,6,20,931984,France
27,spotify:track:5bOWPM362XpMa8zn6UR9te,Nuit Incolore,Dépassé,Wagram Music / Cinq 7,16,27,930104,France
28,spotify:track:5L3ecxQnQ9qTBmnLQiwf0C,Travis Scott Bad Bunny The Weeknd,K-POP,Cactus Jack/Epic,28,1,911150,France
29,spotify:track:1xLCwgQcF6bKncTJmRGGws,SDM,Mr. Ocho,92i / Capitol Music France,6,34,906105,France
30,spotify:track:7A2DyRIqqelhZ4caPJMaFI,Favé,Urus,Morning Glory Music / 109 Record,3,41,903176,France
31,spotify:track:741UUVE2kuITl0c6zuqqbO,Nicki Minaj Ice Spice Aqua,Barbie World (with Aqua) [From Barbie The Album],Atlantic Records,31,2,901239,France
32,spotify:track:4f0ytSBF6dlKOIFQsfeemV,Djadja & Dinaz,Capitaine,Carré music,6,19,895994,France
33,spotify:track:0uSjZhPKuYBcObeetfVlpn,Werenoi,Solitaire,PGP Records,14,50,891893,France
34,spotify:track:0YbFEoJi7Esa7lhIrEpBjl,Imagine Dragons,Waves,Kid Ina Korner / Interscope,32,12,881753,France
35,spotify:track:4cVnXm3iHSlOYRtHZcEEbj,Victor Thompson Vacra Ehis 'D' Greatest,THIS YEAR (Blessings) - French Remix,NWE Worldwide,35,13,870166,France
36,spotify:track:6pb5DtlAeG95dNQLHiArRU,R3HAB INNA Sash!,Rock My Body,Spinnin' Records,33,8,864760,France
37,spotify:track:3D29kjUyWxsT3jUUTtARVQ,Gazo,DIE,BSB PROD,1,56,863590,France
38,spotify:track:0i9RysNKssk6syOrKDX3U2,Gazo Tiakola,FLEURS (feat. Tiakola),BSB PROD,10,56,854567,France
39,spotify:track:6IdcyYfBz9LG3SWIKVyNgh,Becky G Omega,Arranca (feat. Omega),Kemosabe Records/RCA Records,39,9,852091,France
40,spotify:track:2FDTHlrBguDzQkp7PVj16Q,Dave Central Cee,Sprinter,Neighbourhood / Live Yours,40,8,840249,France
41,spotify:track:1JvMPB1mkcrQsnasBGMBYd,Ninho Ayra Starr,No love,Rec. 118/Jefe Production,9,4,839838,France
42,spotify:track:2bNtWTLdqUGhLZqWUGPNvK,SCH,Je la connais,Universal Music Division Capitol Music France,30,23,836775,France
43,spotify:track:26b3oVLrRUaaybJulow9kz,Libianca,People,5K Records Limited,30,29,827817,France
44,spotify:track:2Qzt61URbXBb9N2MSVDoDv,DYSTINCT Naza Unleaded,Business (feat. Naza),Avalon Music,24,8,827276,France
45,spotify:track:2KReCz1L5XkGIBhDncQ5VZ,Måneskin,BABY SAID,Epic,45,15,814364,France
46,spotify:track:7x9aauaA9cu6tyfpHnqDLo,Jung Kook Latto,Seven (feat. Latto) (Explicit Ver.),BIGHIT MUSIC,25,2,812821,France
47,spotify:track:1WkliDsYrTr7UdNcQVDy2Q,Werenoi,La League,PGP Records,34,51,811413,France
48,spotify:track:0Jh6iWjna1wk5le0Ahn7No,Ninho,La vie qu'on mène,Rec. 118 / Mal Luné Music,3,227,810495,France
49,spotify:track:5eTaQYBE1yrActixMAeLcZ,Calvin Harris Ellie Goulding,Miracle (with Ellie Goulding),Columbia,28,18,806219,France
50,spotify:track:3OFAB9JacVGaz4CWSsfZhZ,Zola,AMBER,AWA,1,36,782132,France
51,spotify:track:6vHkJ4L8gqCwedvhXkSCsa,Trinix One-T,The Magic Key,PEOPLE WANT TO DANCE,51,2,774546,France
52,spotify:track:0UjjRIuiLhAiDXPtIu0tIo,Gazo LEVELSANTANA,Drill Fr 6 - S.M.B,BSB PROD,52,1,770371,France
53,spotify:track:0goer5e8B6SJaTV2B51k6f,Jul,La bandite,D'Or et de Platine,11,69,764048,France
54,spotify:track:3p26SlvvvwRo3WY9pUTlE0,Mentissa,Mamma Mia,Tôt Ou Tard,54,8,756754,France
55,spotify:track:3aiOu3VFNOD9omIGG7nSq1,Aden Foyer,The Ballet Girl,Columbia,27,18,739705,France
56,spotify:track:68u6FfyJemjxWi2ipfhG7e,Jul,La faille,D'Or et de Platine,6,11,736968,France
57,spotify:track:7tChNCtleS9bUPD4uDXvJf,Kendji Girac Vianney,Le feu,Universal Music Division Island Def Jam,40,9,735901,France
58,spotify:track:2xsRIYRAC0mXttKR4sZscl,Sound Of Legend,Some Kind Of Kiss,Play Two,28,17,717866,France
59,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,KAROL G Shakira,TQG,Universal Music Latino,29,22,702780,France
60,spotify:track:1bwhDrXcAtqePp8mNJ0pTe,Naps,La kiffance,OK Many Industrie et 13ème art Music,1,126,700765,France
61,spotify:track:14VthBnru6kiREQUYAuNSL,Trinix Fafá de Belém,Emorio,Trinix Music / WEA France,61,3,689498,France
62,spotify:track:4BZZTXcd5ROagKhynqj61X,Hamza Damso,Nocif,Just Woke Up,1,23,685130,France
63,spotify:track:2ewjMyCbNv2X1dB2qIDCwD,Damso,?. Macarena,Universal Music Division Capitol Music France,1,232,676160,France
64,spotify:track:6kwmp0U8M1tPvgPHqvbwsr,Tiakola Rsko,Gasolina (feat. Rsko),Wati-B,6,61,666865,France
65,spotify:track:0UawmEzDkE7zISZkhOB678,DYSTINCT MHD YAM,Tek Tek (feat. MHD),Avalon Music,14,11,653086,France
66,spotify:track:4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,1,69,652364,France
67,spotify:track:0tCawDFGC71YFz5K0nB8Sy,Harley,Supalife 4,Full Records,55,25,651021,France
68,spotify:track:4QiJK3bjjI3mbzyKDjjGlg,Shay,Jolie Go,Jolie Garce Records / Because Music,44,13,651005,France
69,spotify:track:22skzmqfdWrjJylampe0kt,Macklemore & Ryan Lewis Macklemore Ryan Lewis Ray Dalton,Can't Hold Us (feat. Ray Dalton),Macklemore,40,116,644836,France
70,spotify:track:1O2mX6MrjsJlkCGEF0TVWL,PLK,Émotif (Booska 1H),Panenka Music,38,85,644035,France
71,spotify:track:6PrB4KpvuoYWtwjPC5a44S,Soolking Niska,Balader,Universal Music Division Capitol Music France,2,61,618455,France
72,spotify:track:46NCn1HZ054Wy0o6H86teM,Dau,Finale - Nouvelle École,Netflix Music,4,9,616723,France
73,spotify:track:2dHHgzDwk4BJdRwy9uXhTO,Metro Boomin The Weeknd 21 Savage,Creepin' (with The Weeknd & 21 Savage),Republic Records,7,34,612891,France
74,spotify:track:72S7wnaqaCAJ3fZVgx3i4A,Jul,Tropical,D'Or et de Platine,69,5,612474,France
75,spotify:track:7LjHqvRyDcMZ9rJ1XuY0IP,King Serenity Locko Sergio Alejandro,All for U (Ameyatchi),Can't Stop Productions,75,2,608641,France
76,spotify:track:656vbT8JKkVx7g1yG12L89,OBOY,Avec Toi,SYNDICATE RECORDS,36,108,606639,France
77,spotify:track:3pshEpoqS6tcAxTHUZuJtV,Werenoi,All eyes on me,PGP Records,65,10,606392,France
78,spotify:track:4e1U6KRJGed8gh3uRbAv3P,AriBeatz Ozuna GIMS Sfera Ebbasta,MIRAGE (feat. Ozuna GIMS & Sfera Ebbasta),Epic Local,53,12,605200,France
79,spotify:track:3rkyVQEgaDR5nZvW10QOrQ,Werenoi,Chemin d'or,PLR Music / PGP Records / Allpoints,68,19,602104,France
80,spotify:track:5pRqB6LtU8adyhgPGtklMY,Zola Tiakola,TOUTE LA JOURNÉE (feat. Tiakola),AWA,3,25,599159,France
81,spotify:track:7jtQIBanIiJOMS6RyCx6jZ,Tom Odell,Another Love,ITNO/Columbia,17,104,599150,France
82,spotify:track:6qvyN6NTUpdfOJRYjtSSd7,Josman,Intro,SIDELINE,23,71,598675,France
83,spotify:track:6D1HiF2e3Z0F8FwQ5uLxwn,Gazo Favé Kerchak Leto,NO LÈCHE,BSB PROD,4,20,596446,France
84,spotify:track:3BnDvpeuGOj21Ir2aVEtQo,Rema,Calm Down,Mavin Records / Jonzing World,2,66,593067,France
85,spotify:track:1qkwBaQUYh3HeUlUlGu8YM,Luidji,Reste en Vie,Universal Music France,81,5,592357,France
86,spotify:track:2JNJSm3CjesTWLOcJm4Kiz,13 Organisé SCH Kofs Jul Naps Soso Maness Elams Solda Houari,Bande organisée,Rien 100 Rien,1,154,591716,France
87,spotify:track:4cW0FXhN81yZ6YHVmFnsyG,Ninho,25 G,Rec. 118/Jefe Production,6,7,589908,France
88,spotify:track:0Wr98MVkENZXddiLB3bPb0,Louise Attaque,J't'emmène au vent,Universal Music Division Barclay,84,92,586710,France
89,spotify:track:1gUwi1o1S9W9P0FQgJdY8s,P!nk,TRUSTFALL,RCA Records Label,42,6,583507,France
90,spotify:track:4uUG5RXrOk84mYEfFvj3cK,David Guetta Bebe Rexha,I'm Good (Blue),Parlophone UK,3,48,583064,France
91,spotify:track:0XpWJLcqo71l4jsSsjrFD1,Ninho,La vie de Johnny,Rec. 118/Jefe Production,4,4,582465,France
92,spotify:track:4bArJbevzjgIfbPupg9GEl,Jain,The Fool,Columbia,32,14,579064,France
93,spotify:track:6wf7Yu7cxBSPrRlWeSeK0Q,Billie Eilish,"What Was I Made For? [From The Motion Picture ""Barbie""]",Darkroom/Interscope Records,93,2,578530,France
94,spotify:track:6OZwia8loN0aPS0vTvsBjR,Alonzo Ninho Naps,TOUT VA BIEN (feat. Ninho & Naps),ONLY PRO,1,62,577822,France
95,spotify:track:6YWjskKykdPsBuiTBOg1VK,Damso,?. Dieu ne ment jamais,Universal Music Division Capitol Music France,8,82,574346,France
96,spotify:track:59vMO9rkUuefwLMKzohNo5,Jason Derulo Dido,When Love Sucks (feat. Dido),Atlantic Records,96,4,574176,France
97,spotify:track:4otT81iBBpaf36roGtzT4a,Lomepal,Decrescendo,Pinéale,11,45,569878,France
98,spotify:track:03o8WSqd2K5rkGvn9IsLy2,SCH,Autobahn,Rec. 118,10,36,557692,France
99,spotify:track:4ZpIuzx91EAPK3VimONbfB,ZEG P Hamza SCH,FADE UP,On Da Trax,1,57,553831,France
100,spotify:track:4fYte8ZvTK14NEhAOZocBi,OneRepublic,I Ain't Worried,Interscope Records,6,59,553643,France
101,spotify:track:4aslqUfhnz7lYd8mEMIToq,Sadek Ninho,TP,Instinct Productions,8,6,546575,France
102,spotify:track:3t6CmLKKMFxclNBzvJd51t,Ninho Lil Baby,Blue story (feat. Lil Baby),Rec. 118/Jefe Production,2,4,541090,France
103,spotify:track:79DFRI318iJU1hvZnPzA4K,Stefy De Cicco Shibui Andrea Zelletta,Superstar,NITRON music,30,18,535795,France
104,spotify:track:7dISpxgINJOQSuXUTEfB9x,Louane,Secret,Universal Music Division Island Def Jam,13,36,532717,France
105,spotify:track:53tfEupEzQRtVFOeZvk7xq,ROSALÍA,DESPECHÁ,Columbia,7,52,523895,France
106,spotify:track:57e5ib2PnvuiaTvaI4jGDp,Francis Mercier Magic System Nitefreak,Premier Gaou - Nitefreak Remix,Spinnin' Deep,105,6,519097,France
107,spotify:track:4WB9OeauHXnGOMUK4s80gM,Lomepal,Trop beau,Pineale Prod - Grand Musique Management,1,240,517712,France
108,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,Ed Sheeran,Eyes Closed,Atlantic Records UK,47,17,515589,France
109,spotify:track:48BdA5qBxXVoe59xvu0bwc,Gazo,RAPPEL,BSB PROD,4,57,508664,France
110,spotify:track:4cj9dhfsdN71e2gBgCP8Ho,Werenoi PLK,Escorte,PLR Music / PGP Records / Allpoints,11,20,508326,France
111,spotify:track:6Qe7YCkIOc1iaw9HKqO3qV,Soolking,Suavemente,Universal Music Division Capitol Music France,1,74,506494,France
112,spotify:track:2JBnBUqpC3hrhMZv1Z9JKO,Tiakola,La clé,Wati-B,48,52,501368,France
113,spotify:track:16vUeW77F6Xiz1irHBvTAM,Kygo Paul McCartney Michael Jackson,Say Say Say (feat. Paul McCartney & Michael Jackson),Kygo/RCA Records,59,15,498116,France
114,spotify:track:1FiWe3fM6toG3XapfJpJBY,OBOY,Quali,360 records,86,2,496474,France
115,spotify:track:54eE5H6F1HhyM5L4fRLq8s,Loi,Gold,VOLKSMUSIC/WM Germany,109,2,496215,France
116,spotify:track:62PUsRLMQjhyXqijBxSw5B,Boris Way,Lose My Mind,Ultra Records LLC,116,3,495782,France
117,spotify:track:23RoR84KodL5HWvUTneQ1w,Peggy Gou,(It Goes Like) Nanana - Edit,XL Recordings,117,5,494351,France
118,spotify:track:2gH0sY8ATBTt01imXPZJdH,Djadja & Dinaz,Pas là,Carré music,14,21,493602,France
119,spotify:track:2hfeuQkhID6cCWloWe6ugO,Werenoi,10.03.2023,PLR Music / PGP Records / Allpoints,21,22,493002,France
120,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,Republic Records,1,191,486946,France
121,spotify:track:4dEIdPutdmGRP2zxIXCB4S,Bigflo & Oli,Dernière,Universal Music Division Polydor,121,1,480994,France
122,spotify:track:5oePa8PlOTPAlRaGs2OZ3A,Ninho,Putana,Rec. 118 / Mal Luné Music,4,139,476567,France
123,spotify:track:7nLzZI0e9ngvaNDqLF7Z8c,Ninho,Rich Porter,Rec. 118/Jefe Production,7,4,474751,France
124,spotify:track:2a1o6ZejUi8U3wzzOtCOYw,Don Omar Lucenzo,Danza Kuduro,UMLE - Machete,100,19,471966,France
125,spotify:track:6HTJgY7iWWlVLSDHsfHePf,Ninho,Jefe,Rec. 118 / Mal Luné Music,1,86,471026,France
126,spotify:track:07fbDnkKdZGk1gLvknxrns,OneRepublic,RUNAWAY,Mosley Music/Interscope Records,126,4,470658,France
127,spotify:track:07VDlMEZIHbocc84zVB410,Ninho,Bon qu’à ça,Rec. 118/Jefe Production,20,4,470609,France
128,spotify:track:7exHT4swWOKL5addPeqkLP,Måneskin,THE LONELIEST,Epic,12,40,469569,France
129,spotify:track:25Kyv5SeEenT0EETpP2hYn,Victony Rema Tempoe Don Toliver,Soweto (with Don Toliver Rema & Tempoe),Encore Recordings,118,11,468575,France
130,spotify:track:6IGg7qsBvA5xbrwz3MNHWK,Zola Damso,COEUR DE ICE (feat. Damso),AWA,1,19,467543,France
131,spotify:track:5ioieZofgvXQK70RFhVohl,PLK OBOY,Attentat,Panenka Music,7,88,462189,France
132,spotify:track:3xrZCGMyXIDqesVz4QwJOL,Aya Nakamura,Baby,Rec. 118,3,28,459943,France
133,spotify:track:2RSpOGQtcNgmbx5ejgho5X,Werenoi,Scarface,AWA,84,15,456921,France
134,spotify:track:5f5fBrOBCOpLoFaWao5RXu,Gambi,PETETE,Rec. 118,1,52,451338,France
135,spotify:track:1iBWjQ9af9NnUd5xnQDB3k,Rema,Charm,Mavin Records / Jonzing World,130,5,451265,France
136,spotify:track:7e9St8J2mT2Y7peHokbQRY,Louane,Pardonne-moi,Universal Music Division Island Def Jam,136,5,449279,France
137,spotify:track:5klPZRehMLpiKUchPAzKyR,Pierre de Maere,Un jour je marierai un ange,Wagram Music / Cinq 7,8,53,444866,France
138,spotify:track:57JhjU33uXlZtmr2Dsk8TX,Werenoi Ninho,3 singes,PGP Records,8,24,440752,France
139,spotify:track:3eHluH7TTjCYboPXZ2ISBx,J9ueve,ON SE PARLE PLUS MAINTENANT,A+LSO,139,1,438901,France
140,spotify:track:4rXLjWdF2ZZpXCVTfWcshS,Gunna,fukumean,300 Entertainment,140,2,438357,France
141,spotify:track:4VpmtsVKIRfNlmrtaEnrQi,Lomepal,À peu près,Pinéale,5,45,437754,France
142,spotify:track:7eb7JIRN6HKpedFSDGd4yI,Timal Gazo,Filtré,Universal Music Distribution Deal,2,76,436306,France
143,spotify:track:3gKjMuGpd9d7FE71rbdIwa,Ninho,Chiraq,Rec. 118/Jefe Production,12,4,436036,France
144,spotify:track:3bebSZHbfRCrQIFcNc4HkA,Jul Vacra,Coco,D'Or et de Platine,24,7,433325,France
145,spotify:track:3fgEIHsl6ecyAK1rpAxBIY,Jul,J'ai tout su,D'Or et de Platine,3,60,433147,France
146,spotify:track:5BfCoUcWNXcpyJfjXRIeyC,Heuss L'enfoiré Jul,Moulaga,Midi Midi Production/150 Prod,2,106,431041,France
147,spotify:track:3ejjmzEsUfObGdmmQRVmM2,Niro ElGrandeToto,Qui sait ? (feat. ElGrandeToto),Ambition Music,18,24,430695,France
148,spotify:track:3Ucr6hQQuY8cZ0UqXV8uO2,Gala Molella Phil Jay,Freed From Desire - prod. Molella Phil Jay,Do It Yourself,5,36,423698,France
149,spotify:track:10IQPICqgiB3TeUV2UcYqz,Jul,Entraînement,D'Or et de Platine,8,7,422080,France
150,spotify:track:63ZedTAVRCICh2CNLWnsPZ,Beny Jr Morad K y B,Sigue,K y B,113,15,420746,France
151,spotify:track:3bmHBHh990jX1pTANKDPoe,Ninho Omah Lay,Bad,Rec. 118/Jefe Production,14,4,419899,France
152,spotify:track:1TaJ5m4eKM2gFqhxQo4YWX,SDM,Freestyle 8,Universal Music Division Capitol Music France,96,15,413773,France
153,spotify:track:3dl81ypaK6k0y0RCszBKS4,Tayc,Room 69,Play Two,4,23,413763,France
154,spotify:track:78SR3uKM8liycwwuLky8ub,Luidji,Pour deux âmes solitaires (Part.1),FOUFOUNE PALACE,154,4,409260,France
155,spotify:track:43vjYTKZg8R5LsuITJ4wVu,RK,Lola,Universal Music Distribution Deal,7,42,408968,France
156,spotify:track:3H398hWCL0DCKJHNQmURPP,Moha La Squale,Santa Monica,Elektra France,104,8,407675,France
157,spotify:track:3k79jB4aGmMDUQzEwa46Rz,Olivia Rodrigo,vampire,Olivia Rodrigo PS,77,4,403224,France
158,spotify:track:3LtpKP5abr2qqjunvjlX5i,Central Cee,Doja,Central Cee,6,49,402481,France
159,spotify:track:6hzi3AGB39FjxFqcjgbWs7,PNL,Deux frères,QLF Records,2,127,401807,France
160,spotify:track:4L0Iwsk1s8cbdBcEgdm8K5,Damso,Feu de bois,Universal Music Division Capitol Music France,2,140,401281,France
161,spotify:track:07l8zhiWw5NhHmd9rOmo4G,Franglish,Bolingo,Universal Music Division Capitol Music France,141,6,396361,France
162,spotify:track:17jlkHSNHFu1zUuu8QZyOW,Dinos,Placebo,SPKTAQLR,55,50,396198,France
163,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,Vertigo Berlin,28,102,396196,France
164,spotify:track:1s7oOCT8vauUh01PbJD6ps,Rema Selena Gomez,Calm Down (with Selena Gomez),Mavin Records / Jonzing World,23,48,396013,France
165,spotify:track:1mea3bSkSGXuIRvnydlB5b,Coldplay,Viva La Vida,Parlophone UK,153,16,395304,France
166,spotify:track:387yCeKQgJON67MA3a5w0e,RIDSA,Dis Moi Tout,Play Two,166,2,394346,France
167,spotify:track:6WzRpISELf3YglGAh7TXcG,The Weeknd Playboi Carti Madonna,Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,XO / Republic Records,167,2,394259,France
168,spotify:track:5YoDQgB4j7oBHWXH3DcwFD,OBOY,TDB,SYNDICATE RECORDS,1,101,391708,France
169,spotify:track:6b37xrsNCWYIUphFBazqD6,Manu Chao,Me Gustas Tu,Radio Bemba,136,23,391044,France
170,spotify:track:2aQpISWUBToaF84DDiTeRV,Hypaton David Guetta La Bouche,Be My Lover (feat. La Bouche) - 2023 Mix,NITRON music,145,6,390097,France
171,spotify:track:6Vcxzw4ifKqYxVrp3ckpVF,Gazo,HAINE&SEX,BSB PROD,1,91,386038,France
172,spotify:track:7DOqkqVZuvPhKIAtVXjZo1,Ninho,Freestyle LVL UP 2,Rec. 118/Jefe Production,5,11,385165,France
173,spotify:track:0MfGkFybjWFPJQ4YRjZS8X,Djadja & Dinaz,Khemem,Carré music,45,6,384748,France
174,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,Metro Boomin A$AP Rocky Roisee,Am I Dreaming (Metro Boomin & A$AP Rocky Roisee),Republic Records,91,8,383351,France
175,spotify:track:7ELft1cx8anhsXE405kckI,Tiakola,M3lo,Wati-B,31,66,383303,France
176,spotify:track:00X2yv2vrtritPt2CZnUTZ,PNL,Bené,QLF Records,5,109,383076,France
177,spotify:track:4eCQd00uuhXtzgYRS4qW5C,Maes,Fetty Wap,Universal Music Distribution Deal,2,37,382847,France
178,spotify:track:3CRDbSIZ4r5MsZ0YwxuEkn,Twenty One Pilots,Stressed Out,Fueled By Ramen,96,11,382511,France
179,spotify:track:1p9dxTMtG4gZpLp7yzvT54,Therapie TAXI,Eté 90,Panenka Music,14,97,381836,France
180,spotify:track:09rAJ1Q1NNJSaUKEW3X9P6,Sam Feldt Jonas Blue Endless Summer Violet Days,Crying On The Dancefloor,Sony Music Entertainment,167,6,378031,France
181,spotify:track:6Y46tOTRhkBamosyuWa6YX,ROSALÍA The Weeknd,LA FAMA,Columbia,5,52,376654,France
182,spotify:track:7yq4Qj7cqayVTp3FF9CWbm,Vance Joy,Riptide,Atlantic Records,141,10,376329,France
183,spotify:track:1ELMCVbADOtZj8tYdS01nI,Dermot Kennedy,Kiss Me,Riggins Recording,80,25,375645,France
184,spotify:track:3UYc8Rc0hskiAzyvczieGl,Kyo Cœur De Pirate,Dernière danse,RCA Group,184,1,375561,France
185,spotify:track:1FL0ARGtpiazj5nxwP6a7W,Ninho,Yo moko oyebi,Rec. 118/Jefe Production,8,4,373926,France
186,spotify:track:5HEtuK03ygUzqca6yfgOYZ,Ninho,Lettre à une femme,Rec. 118 / Mal Luné Music,1,177,372010,France
187,spotify:track:3kKalceD8teCndyyE3Gh7M,YG Pablo Sofiane Pamart Josman,22h22,Universal Music Distribution Deal,133,4,371737,France
188,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Farruko,Pepas,Sony Music Latin,2,83,371595,France
189,spotify:track:3USxtqRwSYz57Ewm6wWRMp,Glass Animals,Heat Waves,Polydor Records,11,83,370103,France
190,spotify:track:6t5eToKchEStEhi3TiM2aD,Maes,Galactic,Universal Music Distribution Deal,3,29,367139,France
191,spotify:track:6Mxsg88vEWwurUPjVtpRyQ,menace Santana,MaDrug,FAKE DREAM MUSIC,57,38,366977,France
192,spotify:track:6RUa5XeeFLPA0pCfHdILTJ,Ninho,Grands ensembles,Rec. 118/Jefe Production,27,4,366965,France
193,spotify:track:3PqAQRlPl0yOnqqcB6Y5Cw,Aime Simone,Shining Light,No Start No End,23,39,366349,France
194,spotify:track:6JIC3hbC28JZKZ8AlAqX8h,Elton John Dua Lipa PNAU,Cold Heart - PNAU Remix,EMI,11,82,365515,France
195,spotify:track:57I5KhEpQFC9XBgKt6nklL,Nekfeu,On verra,Universal Music Division Polydor,133,72,364595,France
196,spotify:track:1CxtymiucDK0AB9vgGZ6q2,PNL,J’comprends pas,Pnl,64,43,364525,France
197,spotify:track:7MXVkk9YMctZqd1Srtv4MB,The Weeknd Daft Punk,Starboy,Universal Republic Records,2,24,364262,France
198,spotify:track:0SKNkEMV313mE6oYsgVCgm,Jul,J'oublie tout,Liga One Industry,85,26,363916,France
199,spotify:track:0z0izoGFPCoPJKFi41azyb,Damso,?. Signaler,Universal Music Division Capitol Music France,5,128,363597,France
200,spotify:track:46vfSYsDJZaNQcD4YvT8GD,Naps GIMS,Best life,OK Many Industrie/13ème Art Music,3,93,362159,France
1,spotify:track:3EYVgA1fsZ3ZrcE5vpIzYf,RACK Oge,9MM,Barcode Entertainment,1,6,735660,Grèce
2,spotify:track:0sfQyMJmFq4H9DX2duCrBB,Sin Boy DJ Stephan,Sexaki,Alphapop Network,2,3,685383,Grèce
3,spotify:track:4ybJLyfjA4JIJE05VdDVyy,Kidd,Mavromalla,Black Money Records,1,2,671041,Grèce
4,spotify:track:3q6ayHzfLJIx22oQXoYlyi,LILA RACK Beyond,DEJA VU,Barcode Entertainment,1,12,587334,Grèce
5,spotify:track:6NddoCdcG3lrzL4q30Wo5F,Ivan Greko Strat DJ PaCo,AXARISTI,Black Phone Entertainment,5,2,550393,Grèce
6,spotify:track:2iKjK6sz9UxWDKtRWEJTfd,Bossikan,Sagapw,Minos - EMI SA Distribution Deals,5,7,505426,Grèce
7,spotify:track:2lMvfEtDWH2luscLSztkMD,Kimi Light Skive,La Vida Loca,Capital Music,4,9,497135,Grèce
8,spotify:track:7pQJFF9uu0GpVbHoDtW3sl,Sigma Light,AGAPI - Remix,OffBeat Records,1,12,492014,Grèce
9,spotify:track:3bgNoBwhxYYQXWnGJc40V1,Light,Esy,Capital Music,2,4,470654,Grèce
10,spotify:track:4zGbkBCVObxKqYXOmV46oB,SIDARTA,BELLA,OffBeat Records,2,7,450897,Grèce
